event_id,question_number,occurrence,path_turn,semantic_relation,numbering_status,public_topic,public_summary,confirmed_duplicate_of,distance_from_duplicate_source_turns,content_visibility,annotation_note,evidence_scope,seed_dependency,factual_recall_eligibility
Q005,5,1,9,follow_up,ok_new_label,media_music,How the participant uses or experiences music.,,,public_safe,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q005b,5,2,15,intentional_reask_unanswered,valid_reuse_same_question,media_music,How the participant uses or experiences music.,Q5,,public_safe,Explicitly kept unresolved question active.,interview_state,not_required_for_structural_metric,not_scored_in_this_dataset
Q006,6,1,17,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q007,7,1,19,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q008,8,1,21,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q009,9,1,23,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q010,10,1,25,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q011,11,1,27,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q012,12,1,29,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q013,13,1,31,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q014,14,1,33,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q015,15,1,35,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q016,16,1,37,new_topic,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q017,17,1,39,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q018,18,1,41,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q019,19,1,43,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q020,20,1,45,new_topic,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q020b,20,2,47,new_question,numbering_collision,private_omitted,,,,private_omitted,Substantively new question reused Q20 instead of advancing.,interview_state,not_required_for_structural_metric,not_scored_in_this_dataset
Q021,21,1,49,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q022,22,1,51,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q023,23,1,53,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q024,24,1,55,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q025,25,1,57,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q025b,25,2,59,reformulation_after_feedback,valid_reuse_reformulation,private_omitted,,Q25,,private_omitted,"Explicit ""duplicate/retry"" after scenario correction.",interview_state,not_required_for_structural_metric,not_scored_in_this_dataset
Q026,26,1,61,new_topic,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q027,27,1,63,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q028,28,1,65,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q029,29,1,67,new_topic,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q030,30,1,69,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q031,31,1,71,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q032,32,1,73,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q033,33,1,75,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q034,34,1,77,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q035,35,1,79,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q036,36,1,81,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q037,37,1,83,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q038,38,1,85,new_topic,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q039,39,1,87,new_topic,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q040,40,1,89,new_topic,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q041,41,1,91,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q042,42,1,93,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q043,43,1,95,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q044,44,1,97,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q045,45,1,99,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q046,46,1,101,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q047,47,1,103,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q048,48,1,105,new_topic,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q048b,48,2,107,follow_up,numbering_collision,private_omitted,,,,private_omitted,New follow-up question reused Q48 instead of advancing.,interview_state,not_required_for_structural_metric,not_scored_in_this_dataset
Q049,49,1,109,new_topic,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q050,50,1,111,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q051,51,1,113,new_topic,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q052,52,1,115,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q053,53,1,117,new_topic,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q054,54,1,119,new_topic,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q055,55,1,121,new_topic,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q056,56,1,123,new_topic,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q057,57,1,125,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q058,58,1,127,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q059,59,1,129,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q059b,59,2,131,reformulation_after_feedback,valid_reuse_reformulation,private_omitted,,Q59,,private_omitted,Question reformulated after user corrected an assumption.,interview_state,not_required_for_structural_metric,not_scored_in_this_dataset
Q060,60,1,135,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q061,61,1,137,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q062,62,1,139,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q063,63,1,141,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q064,64,1,143,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q065,65,1,145,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q066,66,1,147,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q067,67,1,149,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q068,68,1,151,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q069,69,1,153,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q070,70,1,155,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q071,71,1,157,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
Q072,72,1,159,follow_up,ok_new_label,private_omitted,,,,private_omitted,,interview_sequence,not_required_for_structural_metric,not_scored_in_this_dataset
